SaleID,Date,CustomerID,ProductID,Quantity,Channel,City
S00066,2024-02-22,CUST-032,PROD-015,467,Distributor,Tasikmalaya
S00067,2024-08-17,CUST-194,PROD-015,158,Modern Trade,Kuningan
S00068,2024-03-06,CUST-142,PROD-017,305,Distributor,Cirebon Kab.
S00069,2024-04-18,CUST-038,PROD-034,330,Distributor,Purwakarta
S00070,2024-11-30,CUST-098,PROD-035,287,Modern Trade,Sumedang
S00071,2024-06-12,CUST-136,PROD-039,328,Distributor,Indramayu
S00072,2024-08-26,CUST-021,PROD-038,215,Modern Trade,Bandung Barat
S00073,2024-03-04,CUST-056,PROD-014,34,Traditional Trade,Sumedang
S00074,2024-03-09,CUST-046,PROD-005,267,Distributor,Bekasi
S00075,2024-01-16,CUST-043,PROD-030,240,Modern Trade,Ciamis
S00076,2024-03-03,CUST-120,PROD-004,171,Modern Trade,Cimahi
S00077,2024-03-31,CUST-046,PROD-015,266,Distributor,Bekasi
S00078,2024-03-05,CUST-048,PROD-039,81,Traditional Trade,Depok
S00079,2024-02-03,CUST-198,PROD-035,270,Distributor,Bandung
S00080,2024-02-15,CUST-084,PROD-010,243,Modern Trade,Bandung Barat
S00081,2024-06-06,CUST-031,PROD-002,82,Modern Trade,Cirebon Kab.
S00082,2024-03-12,CUST-161,PROD-024,104,Modern Trade,Purwakarta
S00083,2024-04-23,CUST-172,PROD-028,477,Distributor,Kuningan
S00084,2024-06-24,CUST-071,PROD-022,99,Traditional Trade,Bogor Kab.
S00085,2024-09-05,CUST-008,PROD-032,252,Modern Trade,Tasikmalaya Kab.
S00086,2024-01-16,CUST-130,PROD-031,272,Modern Trade,Depok
S00087,2024-11-01,CUST-145,PROD-019,128,Traditional Trade,Garut Kab.
S00088,2024-08-12,CUST-052,PROD-021,337,Distributor,Sumedang
S00089,2024-02-01,CUST-045,PROD-003,15,Traditional Trade,Bogor
S00090,2024-11-23,CUST-037,PROD-006,481,Distributor,Indramayu
S00091,2024-12-07,CUST-170,PROD-032,118,Modern Trade,Bogor Kab.
S00092,2024-01-24,CUST-044,PROD-002,57,Modern Trade,Tasikmalaya
S00093,2024-03-31,CUST-117,PROD-024,45,E-commerce,Cirebon
S00094,2024-11-03,CUST-038,PROD-027,144,Distributor,Purwakarta
S00095,2024-10-05,CUST-099,PROD-009,37,Traditional Trade,Purwakarta
S00096,2024-03-07,CUST-124,PROD-013,4,E-commerce,Garut Kab.
S00097,2024-03-13,CUST-006,PROD-014,51,Traditional Trade,Pangandaran
S00098,2024-04-24,CUST-068,PROD-011,26,E-commerce,Bogor
S00099,2024-06-16,CUST-179,PROD-014,102,Distributor,Depok
S00100,2024-08-08,CUST-101,PROD-016,135,Modern Trade,Cianjur
S00101,2024-04-24,CUST-163,PROD-010,31,Traditional Trade,Tasikmalaya Kab.
S00102,2024-06-07,CUST-186,PROD-020,93,Traditional Trade,Tasikmalaya
S00103,2024-10-05,CUST-185,PROD-016,40,Traditional Trade,Karawang
S00104,2024-01-15,CUST-134,PROD-034,105,Traditional Trade,Bandung Barat
S00105,2024-03-24,CUST-013,PROD-016,171,Distributor,Cianjur
S00106,2024-09-17,CUST-187,PROD-014,246,Modern Trade,Pangandaran
S00107,2024-11-30,CUST-030,PROD-028,44,E-commerce,Banjar
S00108,2024-06-27,CUST-100,PROD-018,129,Traditional Trade,Pangandaran
S00109,2024-07-05,CUST-002,PROD-026,23,E-commerce,Ciamis
S00110,2024-02-10,CUST-058,PROD-038,35,E-commerce,Sukabumi
S00111,2024-06-01,CUST-036,PROD-007,72,Traditional Trade,Sukabumi Kab.
S00112,2024-07-06,CUST-072,PROD-034,141,Distributor,Sumedang
S00113,2024-03-22,CUST-173,PROD-007,114,Modern Trade,Depok
S00114,2024-03-29,CUST-137,PROD-033,42,E-commerce,Kuningan
S00115,2024-04-26,CUST-126,PROD-035,145,Traditional Trade,Sukabumi Kab.
S00116,2024-01-08,CUST-193,PROD-039,138,Modern Trade,Tasikmalaya Kab.
S00117,2024-04-12,CUST-077,PROD-021,62,Modern Trade,Banjar
S00118,2024-03-14,CUST-050,PROD-028,217,Distributor,Sukabumi
S00119,2024-04-13,CUST-032,PROD-032,139,Distributor,Tasikmalaya
S00120,2024-02-15,CUST-098,PROD-016,256,Modern Trade,Sumedang
S00121,2024-11-28,CUST-043,PROD-010,183,Modern Trade,Ciamis
S00122,2024-07-30,CUST-125,PROD-023,46,E-commerce,Bekasi
S00123,2024-08-31,CUST-095,PROD-015,23,E-commerce,Pangandaran
S00124,2024-10-26,CUST-078,PROD-006,159,Modern Trade,Sukabumi Kab.
S00125,2024-06-22,CUST-054,PROD-033,28,E-commerce,Tasikmalaya
S00126,2024-02-03,CUST-047,PROD-039,126,Modern Trade,Garut
S00127,2024-07-07,CUST-014,PROD-012,149,Traditional Trade,Pangandaran
S00128,2024-07-28,CUST-176,PROD-036,271,Modern Trade,Cirebon
S00129,2024-10-04,CUST-055,PROD-031,151,Modern Trade,Subang
S00130,2024-05-23,CUST-157,PROD-010,118,Traditional Trade,Subang
S00131,2024-02-18,CUST-175,PROD-034,282,Modern Trade,Purwakarta
S00132,2024-04-02,CUST-063,PROD-010,42,Traditional Trade,Purwakarta
S00133,2024-04-22,CUST-019,PROD-011,17,Traditional Trade,Banjar
S00134,2024-08-18,CUST-091,PROD-014,121,Modern Trade,Subang
S00135,2024-07-21,CUST-137,PROD-003,9,E-commerce,Kuningan
S00136,2024-04-20,CUST-101,PROD-033,181,Modern Trade,Cianjur
S00137,2024-12-27,CUST-037,PROD-007,176,Distributor,Indramayu
S00138,2024-08-04,CUST-107,PROD-004,110,Traditional Trade,Karawang
S00139,2024-03-20,CUST-092,PROD-039,81,Traditional Trade,Kuningan
S00140,2024-02-08,CUST-052,PROD-010,68,Distributor,Sumedang
S00141,2024-02-27,CUST-185,PROD-015,82,Traditional Trade,Karawang
S00142,2024-03-23,CUST-028,PROD-016,249,Modern Trade,Cirebon Kab.
S00143,2024-03-01,CUST-036,PROD-038,124,Traditional Trade,Sukabumi Kab.
S00144,2024-03-07,CUST-116,PROD-004,15,E-commerce,Cianjur
S00145,2024-04-02,CUST-064,PROD-004,80,Traditional Trade,Depok
S00146,2024-03-04,CUST-018,PROD-036,105,Traditional Trade,Bogor
S00147,2024-11-30,CUST-089,PROD-027,206,Modern Trade,Purwakarta
S00148,2024-01-31,CUST-163,PROD-022,124,Traditional Trade,Tasikmalaya Kab.
S00149,2024-07-02,CUST-196,PROD-022,143,Traditional Trade,Depok
S00150,2024-05-10,CUST-078,PROD-017,235,Modern Trade,Sukabumi Kab.
S00151,2024-12-26,CUST-167,PROD-034,92,Modern Trade,Depok
S00152,2024-02-12,CUST-090,PROD-032,459,Distributor,Cimahi
S00153,2024-05-02,CUST-008,PROD-006,35,Modern Trade,Tasikmalaya Kab.
S00154,2024-12-22,CUST-015,PROD-033,17,E-commerce,Bogor Kab.
S00155,2024-11-21,CUST-007,PROD-008,232,Modern Trade,Depok
S00156,2024-11-06,CUST-017,PROD-036,87,Traditional Trade,Cianjur
S00157,2024-03-26,CUST-086,PROD-005,48,Traditional Trade,Bogor Kab.
S00158,2024-03-03,CUST-118,PROD-005,20,E-commerce,Garut
S00159,2024-08-27,CUST-064,PROD-010,29,Traditional Trade,Depok
S00160,2024-12-10,CUST-012,PROD-040,41,Traditional Trade,Cirebon
S00161,2024-07-15,CUST-056,PROD-007,116,Traditional Trade,Sumedang
S00162,2024-07-21,CUST-174,PROD-012,242,Distributor,Karawang
S00163,2024-04-01,CUST-175,PROD-030,11,Modern Trade,Purwakarta
S00164,2024-10-16,CUST-101,PROD-025,211,Modern Trade,Cianjur
S00165,2024-03-07,CUST-016,PROD-028,34,E-commerce,Cimahi
S00166,2024-04-12,CUST-197,PROD-013,81,Distributor,Bandung
S00167,2024-05-19,CUST-002,PROD-022,25,E-commerce,Ciamis
S00168,2024-06-25,CUST-128,PROD-018,10,E-commerce,Tasikmalaya Kab.
S00169,2024-03-22,CUST-092,PROD-027,41,Traditional Trade,Kuningan
S00170,2024-02-13,CUST-105,PROD-008,253,Distributor,Sukabumi
S00171,2024-08-06,CUST-182,PROD-006,119,Traditional Trade,Banjar
S00172,2024-04-03,CUST-155,PROD-011,259,Distributor,Tasikmalaya Kab.
S00173,2024-07-25,CUST-031,PROD-029,231,Modern Trade,Cirebon Kab.
S00174,2024-02-27,CUST-169,PROD-005,145,Traditional Trade,Ciamis
S00175,2024-06-15,CUST-164,PROD-007,7,Traditional Trade,Sukabumi Kab.
S00176,2024-07-06,CUST-047,PROD-022,49,Modern Trade,Garut
S00177,2024-01-20,CUST-043,PROD-004,69,Modern Trade,Ciamis
S00178,2024-04-15,CUST-065,PROD-032,20,Modern Trade,Cirebon Kab.
S00179,2024-02-20,CUST-050,PROD-019,169,Distributor,Sukabumi
S00180,2024-01-25,CUST-001,PROD-033,133,Traditional Trade,Depok
S00181,2024-12-28,CUST-200,PROD-001,26,E-commerce,Garut Kab.
S00182,2024-04-12,CUST-185,PROD-008,46,Traditional Trade,Karawang
S00183,2024-11-04,CUST-144,PROD-032,127,Traditional Trade,Banjar
S00184,2024-03-25,CUST-122,PROD-030,96,Traditional Trade,Bogor
S00185,2024-08-31,CUST-028,PROD-028,222,Modern Trade,Cirebon Kab.
S00186,2024-10-11,CUST-086,PROD-032,66,Traditional Trade,Bogor Kab.
S00187,2024-07-31,CUST-082,PROD-025,211,Modern Trade,Tasikmalaya Kab.
S00188,2024-06-11,CUST-022,PROD-034,317,Distributor,Cianjur
S00189,2024-05-11,CUST-041,PROD-033,46,E-commerce,Cirebon Kab.
S00190,2024-04-19,CUST-076,PROD-013,204,Distributor,Bekasi Kab.
S00191,2024-12-10,CUST-147,PROD-025,3,E-commerce,Bandung
S00192,2024-11-10,CUST-089,PROD-040,37,Modern Trade,Purwakarta
S00193,2024-12-21,CUST-178,PROD-039,111,Traditional Trade,Karawang
S00194,2024-02-16,CUST-059,PROD-010,21,E-commerce,Tasikmalaya Kab.
S00195,2024-09-26,CUST-069,PROD-031,184,Distributor,Subang
S00196,2024-12-13,CUST-162,PROD-011,99,Traditional Trade,Purwakarta
S00197,2024-03-06,CUST-167,PROD-025,279,Modern Trade,Depok
S00198,2024-01-26,CUST-123,PROD-034,39,E-commerce,Bandung
S00199,2024-10-01,CUST-074,PROD-020,39,E-commerce,Bogor Kab.
S00200,2024-07-23,CUST-007,PROD-007,21,Modern Trade,Depok
S00201,2024-11-13,CUST-101,PROD-033,13,Modern Trade,Cianjur
S00202,2024-02-22,CUST-111,PROD-035,353,Distributor,Sukabumi
S00203,2024-10-30,CUST-180,PROD-029,440,Distributor,Garut Kab.
S00204,2024-03-11,CUST-188,PROD-012,177,Modern Trade,Bekasi Kab.
S00205,2024-03-01,CUST-052,PROD-005,57,Distributor,Sumedang
S00206,2024-03-01,CUST-024,PROD-012,133,Modern Trade,Bekasi Kab.
S00207,2024-11-05,CUST-026,PROD-029,35,E-commerce,Pangandaran
S00208,2024-08-25,CUST-125,PROD-035,9,E-commerce,Bekasi
S00209,2024-07-02,CUST-090,PROD-020,420,Distributor,Cimahi
S00210,2024-04-21,CUST-122,PROD-037,17,Traditional Trade,Bogor
S00211,2024-11-24,CUST-010,PROD-001,39,E-commerce,Kuningan
S00212,2024-04-30,CUST-017,PROD-016,88,Traditional Trade,Cianjur
S00213,2024-11-06,CUST-002,PROD-030,21,E-commerce,Ciamis
S00214,2024-05-27,CUST-112,PROD-009,51,Traditional Trade,Cianjur
S00215,2024-04-26,CUST-027,PROD-010,267,Modern Trade,Bandung
S00216,2024-06-07,CUST-071,PROD-013,48,Traditional Trade,Bogor Kab.
S00217,2024-04-06,CUST-176,PROD-020,39,Modern Trade,Cirebon
S00218,2024-10-05,CUST-118,PROD-029,23,E-commerce,Garut
S00219,2024-06-23,CUST-009,PROD-004,132,Traditional Trade,Garut
S00220,2024-03-19,CUST-086,PROD-028,59,Traditional Trade,Bogor Kab.
S00221,2024-12-01,CUST-023,PROD-037,44,Traditional Trade,Cirebon Kab.
S00222,2024-04-28,CUST-199,PROD-013,101,Traditional Trade,Tasikmalaya
S00223,2024-07-10,CUST-073,PROD-003,32,E-commerce,Cimahi
S00224,2024-12-03,CUST-027,PROD-037,101,Modern Trade,Bandung
S00225,2024-08-11,CUST-093,PROD-019,329,Distributor,Tasikmalaya
S00226,2024-02-14,CUST-081,PROD-028,179,Modern Trade,Sumedang
S00227,2024-12-13,CUST-084,PROD-019,293,Modern Trade,Bandung Barat
S00228,2024-08-12,CUST-199,PROD-017,121,Traditional Trade,Tasikmalaya
S00229,2024-04-15,CUST-043,PROD-018,257,Modern Trade,Ciamis
S00230,2024-02-22,CUST-007,PROD-018,98,Modern Trade,Depok
S00231,2024-10-29,CUST-092,PROD-023,82,Traditional Trade,Kuningan
S00232,2024-08-09,CUST-083,PROD-040,123,Distributor,Cirebon Kab.
S00233,2024-07-06,CUST-191,PROD-009,441,Distributor,Ciamis
S00234,2024-11-29,CUST-084,PROD-029,23,Modern Trade,Bandung Barat
S00235,2024-10-26,CUST-044,PROD-029,54,Modern Trade,Tasikmalaya
S00236,2024-02-26,CUST-167,PROD-002,47,Modern Trade,Depok
S00237,2024-04-09,CUST-040,PROD-017,254,Modern Trade,Garut
S00238,2024-03-23,CUST-135,PROD-031,71,Modern Trade,Bandung
S00239,2024-10-03,CUST-198,PROD-028,145,Distributor,Bandung
S00240,2024-01-13,CUST-025,PROD-039,71,Traditional Trade,Bandung Barat
S00241,2024-07-21,CUST-059,PROD-030,20,E-commerce,Tasikmalaya Kab.
S00242,2024-10-12,CUST-141,PROD-035,110,Distributor,Bogor
S00243,2024-11-24,CUST-103,PROD-020,17,Traditional Trade,Tasikmalaya
S00244,2024-04-17,CUST-086,PROD-016,123,Traditional Trade,Bogor Kab.
S00245,2024-11-07,CUST-112,PROD-034,91,Traditional Trade,Cianjur
S00246,2024-02-11,CUST-086,PROD-014,87,Traditional Trade,Bogor Kab.
S00247,2024-11-15,CUST-098,PROD-026,89,Modern Trade,Sumedang
S00248,2024-02-17,CUST-062,PROD-020,36,E-commerce,Ciamis
S00249,2024-05-02,CUST-008,PROD-024,120,Modern Trade,Tasikmalaya Kab.
S00250,2024-10-31,CUST-113,PROD-018,80,Modern Trade,Bandung
S00251,2024-02-26,CUST-173,PROD-009,34,Modern Trade,Depok
S00252,2024-03-18,CUST-146,PROD-019,23,E-commerce,Bogor
S00253,2024-09-22,CUST-060,PROD-020,15,Traditional Trade,Pangandaran
S00254,2024-09-20,CUST-060,PROD-030,31,Traditional Trade,Pangandaran
S00255,2024-08-17,CUST-106,PROD-026,166,Distributor,Purwakarta
S00256,2024-09-07,CUST-002,PROD-031,3,E-commerce,Ciamis
S00257,2024-07-10,CUST-194,PROD-035,56,Modern Trade,Kuningan
S00258,2024-03-24,CUST-091,PROD-003,250,Modern Trade,Subang
S00259,2024-04-18,CUST-014,PROD-040,12,Traditional Trade,Pangandaran
S00260,2024-03-06,CUST-048,PROD-029,81,Traditional Trade,Depok
S00261,2024-12-04,CUST-103,PROD-006,71,Traditional Trade,Tasikmalaya
S00262,2024-07-26,CUST-056,PROD-001,39,Traditional Trade,Sumedang
S00263,2024-05-04,CUST-012,PROD-024,81,Traditional Trade,Cirebon
S00264,2024-06-07,CUST-055,PROD-038,289,Modern Trade,Subang
S00265,2024-12-15,CUST-156,PROD-034,9,E-commerce,Kuningan
S00266,2024-02-27,CUST-110,PROD-007,103,Modern Trade,Depok
S00267,2024-07-27,CUST-004,PROD-011,153,Modern Trade,Cirebon
S00268,2024-06-25,CUST-036,PROD-011,62,Traditional Trade,Sukabumi Kab.
S00269,2024-08-06,CUST-178,PROD-036,68,Traditional Trade,Karawang
S00270,2024-01-07,CUST-131,PROD-020,80,Traditional Trade,Sukabumi
S00271,2024-11-23,CUST-001,PROD-016,119,Traditional Trade,Depok
S00272,2024-12-11,CUST-017,PROD-005,53,Traditional Trade,Cianjur
S00273,2024-07-19,CUST-199,PROD-024,33,Traditional Trade,Tasikmalaya
S00274,2024-09-08,CUST-062,PROD-030,15,E-commerce,Ciamis
S00275,2024-12-08,CUST-048,PROD-030,122,Traditional Trade,Depok
S00276,2024-09-14,CUST-062,PROD-039,18,E-commerce,Ciamis
S00277,2024-02-27,CUST-069,PROD-037,312,Distributor,Subang
S00278,2024-07-23,CUST-147,PROD-033,13,E-commerce,Bandung
S00279,2024-08-04,CUST-103,PROD-020,126,Traditional Trade,Tasikmalaya
S00280,2024-05-18,CUST-110,PROD-022,99,Modern Trade,Depok
S00281,2024-09-29,CUST-162,PROD-021,6,Traditional Trade,Purwakarta
S00282,2024-12-12,CUST-177,PROD-037,41,Traditional Trade,Bogor Kab.
S00283,2024-12-09,CUST-175,PROD-027,98,Modern Trade,Purwakarta
S00284,2024-06-02,CUST-091,PROD-038,136,Modern Trade,Subang
S00285,2024-02-12,CUST-114,PROD-035,408,Distributor,Cirebon Kab.
S00286,2024-12-27,CUST-178,PROD-038,34,Traditional Trade,Karawang
S00287,2024-11-13,CUST-089,PROD-040,269,Modern Trade,Purwakarta
S00288,2024-02-16,CUST-154,PROD-006,388,Distributor,Bekasi
S00289,2024-12-07,CUST-056,PROD-032,115,Traditional Trade,Sumedang
S00290,2024-11-22,CUST-078,PROD-016,33,Modern Trade,Sukabumi Kab.
S00291,2024-06-30,CUST-014,PROD-028,54,Traditional Trade,Pangandaran
S00292,2024-07-29,CUST-025,PROD-016,41,Traditional Trade,Bandung Barat
S00293,2024-05-03,CUST-132,PROD-027,25,E-commerce,Cimahi
S00294,2024-01-21,CUST-032,PROD-003,398,Distributor,Tasikmalaya
S00295,2024-04-15,CUST-082,PROD-021,134,Modern Trade,Tasikmalaya Kab.
S00296,2024-11-02,CUST-078,PROD-038,40,Modern Trade,Sukabumi Kab.
S00297,2024-01-02,CUST-193,PROD-038,246,Modern Trade,Tasikmalaya Kab.
S00298,2024-04-15,CUST-106,PROD-030,276,Distributor,Purwakarta
S00299,2024-05-02,CUST-189,PROD-022,28,E-commerce,Cirebon Kab.
S00300,2024-07-07,CUST-020,PROD-019,42,Traditional Trade,Pangandaran
S00301,2024-12-07,CUST-074,PROD-031,44,E-commerce,Bogor Kab.
S00302,2024-04-18,CUST-010,PROD-020,50,E-commerce,Kuningan
S00303,2024-04-18,CUST-123,PROD-019,50,E-commerce,Bandung
S00304,2024-09-29,CUST-034,PROD-002,141,Modern Trade,Garut Kab.
S00305,2024-06-03,CUST-189,PROD-040,28,E-commerce,Cirebon Kab.
S00306,2024-03-17,CUST-155,PROD-039,229,Distributor,Tasikmalaya Kab.
S00307,2024-06-03,CUST-040,PROD-027,87,Modern Trade,Garut
S00308,2024-02-22,CUST-193,PROD-008,229,Modern Trade,Tasikmalaya Kab.
S00309,2024-03-05,CUST-127,PROD-027,146,Traditional Trade,Depok
S00310,2024-06-22,CUST-033,PROD-015,434,Distributor,Majalengka
S00311,2024-05-15,CUST-196,PROD-012,47,Traditional Trade,Depok
S00312,2024-12-06,CUST-071,PROD-014,122,Traditional Trade,Bogor Kab.
S00313,2024-04-22,CUST-137,PROD-007,41,E-commerce,Kuningan
S00314,2024-07-25,CUST-144,PROD-017,22,Traditional Trade,Banjar
S00315,2024-08-13,CUST-133,PROD-026,237,Distributor,Cirebon Kab.
S00316,2024-01-06,CUST-098,PROD-037,196,Modern Trade,Sumedang
S00317,2024-08-25,CUST-124,PROD-020,42,E-commerce,Garut Kab.
S00318,2024-03-05,CUST-151,PROD-010,34,Traditional Trade,Subang
S00319,2024-12-20,CUST-043,PROD-019,111,Modern Trade,Ciamis
S00320,2024-02-25,CUST-114,PROD-018,316,Distributor,Cirebon Kab.
S00321,2024-05-12,CUST-089,PROD-030,133,Modern Trade,Purwakarta
S00322,2024-02-02,CUST-185,PROD-030,70,Traditional Trade,Karawang
S00323,2024-12-31,CUST-179,PROD-025,148,Distributor,Depok
S00324,2024-06-23,CUST-013,PROD-024,480,Distributor,Cianjur
S00325,2024-07-31,CUST-128,PROD-010,24,E-commerce,Tasikmalaya Kab.
S00326,2024-01-26,CUST-152,PROD-002,382,Distributor,Bogor
S00327,2024-10-06,CUST-139,PROD-038,132,Traditional Trade,Cianjur
S00328,2024-03-13,CUST-052,PROD-032,489,Distributor,Sumedang
S00329,2024-12-01,CUST-017,PROD-035,98,Traditional Trade,Cianjur
S00330,2024-03-12,CUST-165,PROD-037,91,Traditional Trade,Karawang
S00331,2024-03-08,CUST-013,PROD-007,173,Distributor,Cianjur
S00332,2024-01-15,CUST-190,PROD-007,46,E-commerce,Cirebon Kab.
S00333,2024-06-11,CUST-084,PROD-027,165,Modern Trade,Bandung Barat
S00334,2024-07-19,CUST-097,PROD-010,97,Traditional Trade,Karawang
S00335,2024-01-26,CUST-106,PROD-033,298,Distributor,Purwakarta
S00336,2024-10-19,CUST-096,PROD-007,485,Distributor,Indramayu
S00337,2024-06-03,CUST-008,PROD-006,280,Modern Trade,Tasikmalaya Kab.
S00338,2024-07-02,CUST-056,PROD-006,62,Traditional Trade,Sumedang
S00339,2024-05-28,CUST-104,PROD-013,3,E-commerce,Karawang
S00340,2024-05-04,CUST-083,PROD-013,250,Distributor,Cirebon Kab.
S00341,2024-07-16,CUST-198,PROD-002,121,Distributor,Bandung
S00342,2024-02-28,CUST-044,PROD-019,256,Modern Trade,Tasikmalaya
S00343,2024-03-06,CUST-188,PROD-019,107,Modern Trade,Bekasi Kab.
S00344,2024-11-20,CUST-103,PROD-038,77,Traditional Trade,Tasikmalaya
S00345,2024-12-15,CUST-112,PROD-002,85,Traditional Trade,Cianjur
S00346,2024-04-25,CUST-169,PROD-026,69,Traditional Trade,Ciamis
S00347,2024-03-29,CUST-149,PROD-006,40,E-commerce,Bekasi
S00348,2024-08-18,CUST-042,PROD-020,9,Traditional Trade,Kuningan
S00349,2024-05-09,CUST-157,PROD-023,32,Traditional Trade,Subang
S00350,2024-01-10,CUST-193,PROD-015,90,Modern Trade,Tasikmalaya Kab.
S00351,2024-02-28,CUST-145,PROD-006,91,Traditional Trade,Garut Kab.
S00352,2024-09-18,CUST-030,PROD-028,18,E-commerce,Banjar
S00353,2024-08-23,CUST-026,PROD-035,37,E-commerce,Pangandaran
S00354,2024-01-11,CUST-181,PROD-011,27,E-commerce,Garut
S00355,2024-03-17,CUST-125,PROD-008,25,E-commerce,Bekasi
S00356,2024-03-19,CUST-019,PROD-024,87,Traditional Trade,Banjar
S00357,2024-08-28,CUST-053,PROD-021,31,Traditional Trade,Bogor Kab.
S00358,2024-01-08,CUST-085,PROD-036,191,Modern Trade,Sukabumi Kab.
S00359,2024-02-09,CUST-017,PROD-007,139,Traditional Trade,Cianjur
S00360,2024-11-01,CUST-174,PROD-005,139,Distributor,Karawang
