Month,City,SalesTarget,ProfitTarget,SpendBudget
Jun-2024,Garut Kab.,47797992,11199082,2486923
Jul-2024,Bandung,77351831,14454179,4276859
Jul-2024,Bandung Barat,37975055,6826133,2080560
Jul-2024,Bogor,67670140,15159533,3149635
Jul-2024,Bogor Kab.,47407077,9576152,2838932
Jul-2024,Bekasi,70469193,17198528,4070784
Jul-2024,Bekasi Kab.,50353537,11826967,2587395
Jul-2024,Depok,75472585,20463414,3095016
Jul-2024,Cimahi,55915422,13304729,3185918
Jul-2024,Sukabumi,36233835,10159657,1536414
Jul-2024,Sukabumi Kab.,52227405,11097185,2800509
Jul-2024,Cirebon,80214830,13998248,4034186
Jul-2024,Cirebon Kab.,42237685,9886385,2312938
Jul-2024,Karawang,60525302,13761296,3168656
Jul-2024,Subang,42645767,12493099,2149604
Jul-2024,Purwakarta,40106634,6664448,2038748
Jul-2024,Indramayu,44442863,7950031,1805001
Jul-2024,Majalengka,34123951,8182583,1461735
Jul-2024,Sumedang,49539106,14504847,2950842
Jul-2024,Garut,55991091,15177045,2474098
Jul-2024,Ciamis,27663854,5995922,1449382
Jul-2024,Pangandaran,38598189,7132731,1914198
Jul-2024,Banjar,50567405,10964989,2482044
Jul-2024,Kuningan,28745595,8566162,1423018
Jul-2024,Cianjur,47986693,8771194,2412902
Jul-2024,Tasikmalaya,66792584,12046071,3040027
Jul-2024,Tasikmalaya Kab.,36062092,8493440,1721950
Jul-2024,Garut Kab.,56220502,8776361,2297394
Aug-2024,Bandung,99434940,16804176,3981693
Aug-2024,Bandung Barat,44472846,12166944,2492893
Aug-2024,Bogor,77605288,19417202,3891516
Aug-2024,Bogor Kab.,62618374,9922728,3523134
Aug-2024,Bekasi,70823946,14784012,3104861
Aug-2024,Bekasi Kab.,57565360,14492017,2933412
Aug-2024,Depok,91926521,22607922,5104573
Aug-2024,Cimahi,45985166,9856317,1978858
Aug-2024,Sukabumi,50739839,12951534,2731215
Aug-2024,Sukabumi Kab.,57735672,11334385,3074094
Aug-2024,Cirebon,78698652,22954335,3688395
Aug-2024,Cirebon Kab.,55075455,14458510,3201434
Aug-2024,Karawang,81517144,16635429,3961779
Aug-2024,Subang,48092408,11931181,2820828
Aug-2024,Purwakarta,43151775,10103483,2500773
Aug-2024,Indramayu,42502863,9524033,2435609
Aug-2024,Majalengka,43757913,9939733,1772153
Aug-2024,Sumedang,42640979,10148873,1811268
Aug-2024,Garut,43735444,11625649,2406054
Aug-2024,Ciamis,42748523,7090281,1879348
Aug-2024,Pangandaran,42576825,10991766,2389374
Aug-2024,Banjar,64743641,18106513,3263679
Aug-2024,Kuningan,33438443,7873131,1764604
Aug-2024,Cianjur,48382803,12852434,2025065
Aug-2024,Tasikmalaya,95175714,14733179,4754914
Aug-2024,Tasikmalaya Kab.,61535911,10028771,3098627
Aug-2024,Garut Kab.,43984785,12501459,2491602
Sep-2024,Bandung,70949682,19954410,3883151
Sep-2024,Bandung Barat,31235560,6102659,1559813
Sep-2024,Bogor,61289109,16384264,2729767
Sep-2024,Bogor Kab.,30244854,6726199,1305271
Sep-2024,Bekasi,64224630,15179146,3520932
Sep-2024,Bekasi Kab.,29110139,8578892,1164408
Sep-2024,Depok,53912387,13582968,2205169
Sep-2024,Cimahi,29458617,4757631,1520954
Sep-2024,Sukabumi,43678693,10190918,2274411
Sep-2024,Sukabumi Kab.,34055028,5203988,1376922
Sep-2024,Cirebon,69672679,11522876,4180067
Sep-2024,Cirebon Kab.,30877395,7756252,1821121
Sep-2024,Karawang,54944099,14294530,2583314
Sep-2024,Subang,33336468,6009585,1880800
Sep-2024,Purwakarta,32504273,6256218,1949586
Sep-2024,Indramayu,33727932,7198086,2016967
Sep-2024,Majalengka,24123929,4943543,1364311
Sep-2024,Sumedang,33458781,6192146,1621553
Sep-2024,Garut,40261214,6300334,1911534
Sep-2024,Ciamis,23841500,4451750,1265643
Sep-2024,Pangandaran,23152378,5579948,1159627
Sep-2024,Banjar,31800822,6041676,1380537
Sep-2024,Kuningan,20293707,4928900,1084815
Sep-2024,Cianjur,30904999,7488555,1843226
Sep-2024,Tasikmalaya,46883258,10481016,2562674
Sep-2024,Tasikmalaya Kab.,28805160,7683517,1716505
Sep-2024,Garut Kab.,29548537,8076634,1405672
Oct-2024,Bandung,48835253,10938070,2023262
Oct-2024,Bandung Barat,37136774,5678343,2026636
Oct-2024,Bogor,58463151,12794131,2567925
Oct-2024,Bogor Kab.,34322105,6084637,1877686
Oct-2024,Bekasi,50372708,12216036,2296600
Oct-2024,Bekasi Kab.,39497188,9126545,1914380
Oct-2024,Depok,63644023,13515337,3591267
Oct-2024,Cimahi,40767973,9421309,2345838
Oct-2024,Sukabumi,42505081,9766643,1758390
Oct-2024,Sukabumi Kab.,37904936,7705639,1925656
Oct-2024,Cirebon,62919652,15523900,3364344
Oct-2024,Cirebon Kab.,39887200,6636919,1748425
Oct-2024,Karawang,62455148,13192142,3451086
Oct-2024,Subang,30185912,5395081,1544591
Oct-2024,Purwakarta,36763090,6983500,1770762
Oct-2024,Indramayu,28612172,4450786,1198808
Oct-2024,Majalengka,26665707,7454597,1205409
Oct-2024,Sumedang,28593947,7328458,1632915
Oct-2024,Garut,30418023,6322755,1313290
Oct-2024,Ciamis,20902878,5167719,1240601
Oct-2024,Pangandaran,27907528,8308690,1358759
Oct-2024,Banjar,43712721,7901626,1851587
Oct-2024,Kuningan,28205870,5802264,1307447
Oct-2024,Cianjur,39747410,7950380,2045050
Oct-2024,Tasikmalaya,53184742,14230303,2459675
Oct-2024,Tasikmalaya Kab.,37362397,5734246,2086115
Oct-2024,Garut Kab.,38855911,6948818,1721607
Nov-2024,Bandung,89399660,21141188,4556372
Nov-2024,Bandung Barat,56215911,14284988,3248201
Nov-2024,Bogor,78888742,16770128,4091990
Nov-2024,Bogor Kab.,65593056,10031165,2899955
Nov-2024,Bekasi,79767874,18772951,4220342
Nov-2024,Bekasi Kab.,52792264,10555901,2459912
Nov-2024,Depok,116150511,20814045,5919759
Nov-2024,Cimahi,71488065,19618950,3812553
Nov-2024,Sukabumi,56985832,15583173,3125292
Nov-2024,Sukabumi Kab.,69134074,11068386,2825184
Nov-2024,Cirebon,110177534,32140904,6112041
Nov-2024,Cirebon Kab.,72944266,16904639,3362126
Nov-2024,Karawang,109331371,28075818,5850011
Nov-2024,Subang,76401271,15668132,3116648
Nov-2024,Purwakarta,75253330,13099713,4059643
Nov-2024,Indramayu,74196133,14581113,4200117
Nov-2024,Majalengka,40573220,10919823,1679593
Nov-2024,Sumedang,67657289,17020592,3371262
Nov-2024,Garut,68612725,19793230,3751544
Nov-2024,Ciamis,53787216,11687523,2719794
Nov-2024,Pangandaran,39138512,11657024,1608699
Nov-2024,Banjar,58758612,11437632,2804562
Nov-2024,Kuningan,52872075,10849650,3084532
Nov-2024,Cianjur,60700165,16887715,3061412
Nov-2024,Tasikmalaya,91744936,19945575,4448493
Nov-2024,Tasikmalaya Kab.,55797421,10793777,2439969
Nov-2024,Garut Kab.,58080016,14151827,2772226
Dec-2024,Bandung,110991514,33080657,5276760
Dec-2024,Bandung Barat,61879176,10805126,2960566
Dec-2024,Bogor,111687957,20395418,4874183
Dec-2024,Bogor Kab.,59291246,16174499,3111198
Dec-2024,Bekasi,122763810,35071296,5281635
Dec-2024,Bekasi Kab.,49276583,10341391,2485589
Dec-2024,Depok,101547389,17274844,4315393
Dec-2024,Cimahi,49405822,13716488,2912714
Dec-2024,Sukabumi,51470550,9366011,2151327
Dec-2024,Sukabumi Kab.,74325065,21837173,3362163
Dec-2024,Cirebon,91372023,18676482,4573103
Dec-2024,Cirebon Kab.,68473829,15451707,4041327
Dec-2024,Karawang,81594886,22013551,3809637
Dec-2024,Subang,59326430,15206812,3475789
Dec-2024,Purwakarta,69486023,18509623,3822814
Dec-2024,Indramayu,57629358,15187615,3209402
Dec-2024,Majalengka,44801406,10327326,2472787
Dec-2024,Sumedang,72510925,14544191,4062877
Dec-2024,Garut,72426270,13407467,3935572
Dec-2024,Ciamis,37517212,6151223,1931793
Dec-2024,Pangandaran,52681696,8182460,2978098
Dec-2024,Banjar,63194136,17639652,3593821
Dec-2024,Kuningan,51981022,13792181,2955632
Dec-2024,Cianjur,53280756,10420542,2389627
Dec-2024,Tasikmalaya,112436558,19456749,4907243
Dec-2024,Tasikmalaya Kab.,74368941,19029697,4276779
Dec-2024,Garut Kab.,52180657,10949957,2382726
